Node ID,Node Path,Query
2265896011,Beauty/Makeup/Makeup Palettes,item_type_keyword:makeup-palettes
11059231,Beauty/Makeup/Makeup Remover,item_type_keyword:makeup-removers
11059241,Beauty/Makeup/Makeup Remover/Eyes,item_type_keyword:eye-makeup-removers
11059251,Beauty/Makeup/Makeup Remover/Face,item_type_keyword:face-makeup-removers
3782991,Beauty/Makeup/Makeup Remover/Lips,item_type_keyword:lip-makeup-removers
11059301,Beauty/Makeup/Makeup Sets,item_type_keyword:makeup-sets
11059311,Beauty/Makeup/Nails,item_type_keyword:nail-polish-and-nail-decoration-products
13106071,Beauty/Makeup/Nails/Nail Art,item_type_keyword:( nail-decals OR nail-decorations )
11059321,Beauty/Makeup/Nails/Nail Polish,item_type_keyword:nail-polish
11059371,Beauty/Makeup/Nails/Nail Polish Remover,item_type_keyword:nail-polish-removers
3782871,Beauty/Makeup/Nails/Nail Thickening Solution,item_type_keyword:nail-thickening-solutions
11062291,Beauty/Makeup/Nails/Nail Treatments,item_type_keyword:nail-treatment-products
11062311,Beauty/Makeup/Nails/Nail Treatments/Growth Formula,item_type_keyword:nail-growth-formula-treatments
11062321,Beauty/Makeup/Nails/Nail Treatments/Nail Repair,item_type_keyword:nail-repair-products
11062331,Beauty/Makeup/Nails/Nail Treatments/Nail Strengthening,item_type_keyword:nail-strengthening-products
11062341,Beauty/Makeup/Nails/Nail Treatments/Nail Whitening,item_type_keyword:nail-whitening-treatments
11062351,Beauty/Makeup/Nails/Nail Treatments/Ridge Filler,item_type_keyword:nail-ridge-fillers
11059361,Beauty/Makeup/Nails/Top & Base Coats,item_type_keyword:( top-nail-coats OR base-nail-coats )
11060451,Beauty/Skin Care,
11060521,Beauty/Skin Care/Body,
11056421,Beauty/Skin Care/Body/Exfoliators,item_type_keyword:body-scrubs-and-treatments
11056441,Beauty/Skin Care/Body/Exfoliators/Body Mud,item_type_keyword:body-muds
11056471,Beauty/Skin Care/Body/Exfoliators/Body Scrubs,item_type_keyword:body-scrubs
11056481,Beauty/Skin Care/Body/Exfoliators/Body Souffles & Mousse,item_type_keyword:( body-souffles OR body-mousses )
11060661,Beauty/Skin Care/Body/Moisturizers,
11060671,Beauty/Skin Care/Body/Moisturizers/Body Butter,item_type_keyword:body-butters
11060681,Beauty/Skin Care/Body/Moisturizers/Creams,item_type_keyword:body-gels-and-creams
14024031,Beauty/Skin Care/Body/Moisturizers/Lotions,item_type_keyword:body-lotions
11060691,Beauty/Skin Care/Body/Moisturizers/Oils,item_type_keyword:body-oils
11061941,Beauty/Skin Care/Eyes,item_type_keyword:eye-treatment-products
11061961,Beauty/Skin Care/Eyes/Dark Circle Treatments,item_type_keyword:dark-circle-eye-treatments
11061971,Beauty/Skin Care/Eyes/Masks,item_type_keyword:eye-masks
11061991,Beauty/Skin Care/Eyes/Puffiness Treatments,item_type_keyword:eye-puffiness-treatments
11060711,Beauty/Skin Care/Face,item_type_keyword:facial-care-products
11060901,Beauty/Skin Care/Face/Cleansers,item_type_keyword:facial-cleansing-products
11060941,Beauty/Skin Care/Face/Cleansers/Cloths & Towelettes,item_type_keyword:facial-cleansing-cloths-and-towelettes
11060951,Beauty/Skin Care/Face/Cleansers/Creams,item_type_keyword:facial-cleansing-creams
11061001,Beauty/Skin Care/Face/Cleansers/Gels,item_type_keyword:facial-cleansing-gels
11061021,Beauty/Skin Care/Face/Cleansers/Liquid,item_type_keyword:facial-liquid-cleansers
11061471,Beauty/Skin Care/Face/Cleansers/Pads,item_type_keyword:facial-cleansing-pads
1254429011,Beauty/Skin Care/Face/Cleansers/Pore Cleansers,item_type_keyword:pore-cleansers
11061581,Beauty/Skin Care/Face/Cleansers/Soaps,item_type_keyword:facial-soaps
11061191,Beauty/Skin Care/Face/Cleansers/Strips,item_type_keyword:facial-cleansing-strips
11061091,Beauty/Skin Care/Face/Exfoliators,
11061121,Beauty/Skin Care/Face/Exfoliators/Masks,item_type_keyword:facial-masks
11061151,Beauty/Skin Care/Face/Exfoliators/Polishes,item_type_keyword:facial-polishes
11061161,Beauty/Skin Care/Face/Exfoliators/Scrubs,item_type_keyword:facial-scrubs
11062031,Beauty/Skin Care/Face/Face Treatments,item_type_keyword:facial-treatment-products
979621011,Beauty/Skin Care/Face/Face Treatments/Facial Muds,item_type_keyword:facial-muds
11062111,Beauty/Skin Care/Face/Face Treatments/Night Treatments,item_type_keyword:facial-night-treatments
11061141,Beauty/Skin Care/Face/Face Treatments/Peels,item_type_keyword:facial-peels
11061591,Beauty/Skin Care/Face/Face Treatments/Spot Treatments,item_type_keyword:facial-spot-treatments
11062171,Beauty/Skin Care/Face/Face Treatments/Sprays & Mists,item_type_keyword:facial-sprays-and-mists
11061301,Beauty/Skin Care/Face/Moisturizers,item_type_keyword:facial-moisturizers
11061931,Beauty/Skin Care/Face/Toners & Astringents,item_type_keyword:( facial-astringents OR facial-toners )
3780041,Beauty/Skin Care/Feet,item_type_keyword:( foot-creams OR foot-lotions )
11062211,Beauty/Skin Care/Hands & Nails,
11062221,Beauty/Skin Care/Hands & Nails/Cuticle Care,item_type_keyword:cuticle-care-products
