Node ID,Node Path,Query
12896491,"Arts, Crafts & Sewing/Craft Supplies/Ceramics & Pottery/Clays & Doughs",
689390011,"Arts, Crafts & Sewing/Craft Supplies/Ceramics & Pottery/Clays & Doughs/Clay",item_type_keyword:artists-clays
689391011,"Arts, Crafts & Sewing/Craft Supplies/Ceramics & Pottery/Clays & Doughs/Dough",item_type_keyword:artists-doughs
12896501,"Arts, Crafts & Sewing/Craft Supplies/Ceramics & Pottery/Glazes",item_type_keyword:ceramic-and-pottery-glazes
12896511,"Arts, Crafts & Sewing/Craft Supplies/Ceramics & Pottery/Kilns & Firing Accessories",
2933705011,"Arts, Crafts & Sewing/Craft Supplies/Ceramics & Pottery/Kilns & Firing Accessories/Firing Accessories",item_type_keyword:kiln-firing-accessories
2933704011,"Arts, Crafts & Sewing/Craft Supplies/Ceramics & Pottery/Kilns & Firing Accessories/Kilns",item_type_keyword:kilns
12896521,"Arts, Crafts & Sewing/Craft Supplies/Ceramics & Pottery/Pottery Wheels & Accessories",
2933707011,"Arts, Crafts & Sewing/Craft Supplies/Ceramics & Pottery/Pottery Wheels & Accessories/Pottery Wheel Accessories",item_type_keyword:pottery-wheel-accessories
2933706011,"Arts, Crafts & Sewing/Craft Supplies/Ceramics & Pottery/Pottery Wheels & Accessories/Pottery Wheels",item_type_keyword:pottery-wheels
12896531,"Arts, Crafts & Sewing/Craft Supplies/Ceramics & Pottery/Pug Mills & Slab Rollers",
2933708011,"Arts, Crafts & Sewing/Craft Supplies/Ceramics & Pottery/Pug Mills & Slab Rollers/Pug Mills",item_type_keyword:pug-mills
2933709011,"Arts, Crafts & Sewing/Craft Supplies/Ceramics & Pottery/Pug Mills & Slab Rollers/Slab Rollers",item_type_keyword:slab-rollers
12896541,"Arts, Crafts & Sewing/Craft Supplies/Ceramics & Pottery/Wedging Boards & Angles",item_type_keyword:clay-wedging-boards-and-angles
12896551,"Arts, Crafts & Sewing/Craft Supplies/Cutting Tools",item_type_keyword:general-artists-cutting-tools
12896561,"Arts, Crafts & Sewing/Craft Supplies/Cutting Tools/Art Knives & Blades",
2933711011,"Arts, Crafts & Sewing/Craft Supplies/Cutting Tools/Art Knives & Blades/Art Blades",item_type_keyword:art-knife-refill-blades
2933710011,"Arts, Crafts & Sewing/Craft Supplies/Cutting Tools/Art Knives & Blades/Art Knives",item_type_keyword:art-knives
689393011,"Arts, Crafts & Sewing/Craft Supplies/Cutting Tools/Craft Shears",item_type_keyword:craft-shears
262643011,"Arts, Crafts & Sewing/Craft Supplies/Cutting Tools/Cutting Mats",item_type_keyword:craft-cutting-mats
12896581,"Arts, Crafts & Sewing/Craft Supplies/Cutting Tools/Cutting Rails & Safety Edges",
2933712011,"Arts, Crafts & Sewing/Craft Supplies/Cutting Tools/Cutting Rails & Safety Edges/Cutting Rails",item_type_keyword:art-cutting-rails
2933713011,"Arts, Crafts & Sewing/Craft Supplies/Cutting Tools/Cutting Rails & Safety Edges/Safety Edges",item_type_keyword:art-safety-edges
12896601,"Arts, Crafts & Sewing/Craft Supplies/Cutting Tools/Glass Cutting Tools",item_type_keyword:glass-cutting-tools
12896611,"Arts, Crafts & Sewing/Craft Supplies/Cutting Tools/Mat Cutters & Blades",
2933715011,"Arts, Crafts & Sewing/Craft Supplies/Cutting Tools/Mat Cutters & Blades/Mat Cutter Blades",item_type_keyword:mat-cutter-refill-blades
2933714011,"Arts, Crafts & Sewing/Craft Supplies/Cutting Tools/Mat Cutters & Blades/Mat Cutters",item_type_keyword:mat-cutters
490584011,"Arts, Crafts & Sewing/Craft Supplies/Cutting Tools/Paper Trimmers",item_type_keyword:paper-trimmers
490588011,"Arts, Crafts & Sewing/Craft Supplies/Cutting Tools/Paper Trimmers/Rotary Trimmers",item_type_keyword:rotary-paper-trimmers
490589011,"Arts, Crafts & Sewing/Craft Supplies/Cutting Tools/Paper Trimmers/Stack & Guillotine Trimmers",item_type_keyword:stack-paper-trimmers
490590011,"Arts, Crafts & Sewing/Craft Supplies/Cutting Tools/Paper Trimmers/Trimmer Blades",item_type_keyword:paper-trimmer-refill-blades
262718011,"Arts, Crafts & Sewing/Craft Supplies/Cutting Tools/Rotary Cutters",item_type_keyword:rotary-cutters
689392011,"Arts, Crafts & Sewing/Craft Supplies/Cutting Tools/Scissors",item_type_keyword:scissors
12896631,"Arts, Crafts & Sewing/Craft Supplies/Cutting Tools/Sharpening Tools",item_type_keyword:artists-sharpening-tools
262606011,"Arts, Crafts & Sewing/Craft Supplies/Doll Making",item_type_keyword:doll-making-supplies
12899411,"Arts, Crafts & Sewing/Craft Supplies/Fabric Ribbons",item_type_keyword:fabric-ribbons
262607011,"Arts, Crafts & Sewing/Craft Supplies/Floral Arranging",item_type_keyword:floral-arranging-supplies
12896921,"Arts, Crafts & Sewing/Craft Supplies/Framing Materials",item_type_keyword:art-framing-supplies
12896931,"Arts, Crafts & Sewing/Craft Supplies/Framing Materials/Frame Molding",item_type_keyword:art-frame-molding
12896961,"Arts, Crafts & Sewing/Craft Supplies/Framing Materials/Frame Rulers & Straight Edges",
2933716011,"Arts, Crafts & Sewing/Craft Supplies/Framing Materials/Frame Rulers & Straight Edges/Frame Rulers",item_type_keyword:art-framing-rulers
2933717011,"Arts, Crafts & Sewing/Craft Supplies/Framing Materials/Frame Rulers & Straight Edges/Straight Edges",item_type_keyword:art-framing-straightedges
12896941,"Arts, Crafts & Sewing/Craft Supplies/Framing Materials/Frame Sections & Parts",item_type_keyword:art-frame-parts-and-sections
12896951,"Arts, Crafts & Sewing/Craft Supplies/Framing Materials/Framing Tools",item_type_keyword:art-frame-making-tools
12896981,"Arts, Crafts & Sewing/Craft Supplies/Framing Materials/Matting & Mounting Materials",item_type_keyword:photo-mat-boards
511352,"Arts, Crafts & Sewing/Craft Supplies/Framing Materials/Picture Hanging Materials",item_type_keyword:picture-hanging-hardware
12896971,"Arts, Crafts & Sewing/Craft Supplies/Framing Materials/Templates",item_type_keyword:art-framing-templates
3298704011,"Arts, Crafts & Sewing/Craft Supplies/Glitter",item_type_keyword:arts-and-crafts-glitter
3298705011,"Arts, Crafts & Sewing/Craft Supplies/Gold Leaf",item_type_keyword:arts-and-crafts-gold-leaf
12897111,"Arts, Crafts & Sewing/Craft Supplies/Leathercraft",item_type_keyword:leathercraft-supplies
12897121,"Arts, Crafts & Sewing/Craft Supplies/Leathercraft/Lacing Needles",item_type_keyword:leathercraft-lacing-needles
12897131,"Arts, Crafts & Sewing/Craft Supplies/Leathercraft/Leather Carving Kits",item_type_keyword:leathercraft-carving-kits
12897151,"Arts, Crafts & Sewing/Craft Supplies/Leathercraft/Leather Strips, Shapes, & Scraps",
689397011,"Arts, Crafts & Sewing/Craft Supplies/Leathercraft/Leather Strips, Shapes, & Scraps/Scraps",item_type_keyword:leather-scraps
689396011,"Arts, Crafts & Sewing/Craft Supplies/Leathercraft/Leather Strips, Shapes, & Scraps/Shapes",item_type_keyword:leather-shapes
689395011,"Arts, Crafts & Sewing/Craft Supplies/Leathercraft/Leather Strips, Shapes, & Scraps/Strips",item_type_keyword:leather-strips
12897141,"Arts, Crafts & Sewing/Craft Supplies/Leathercraft/Leathercraft Accessories",item_type_keyword:leathercraft-accessories
12897161,"Arts, Crafts & Sewing/Craft Supplies/Leathercraft/Stamping & Punching",
2933719011,"Arts, Crafts & Sewing/Craft Supplies/Leathercraft/Stamping & Punching/Punching",item_type_keyword:leathercraft-punching-equipment
2933718011,"Arts, Crafts & Sewing/Craft Supplies/Leathercraft/Stamping & Punching/Stamping",item_type_keyword:leathercraft-stamping-equipment
262609011,"Arts, Crafts & Sewing/Craft Supplies/Leathercraft/Suncatcher Supplies",item_type_keyword:suncatcher-making-supplies
262611011,"Arts, Crafts & Sewing/Craft Supplies/Mosaic Making",item_type_keyword:mosaic-making-supplies
12897981,"Arts, Crafts & Sewing/Craft Supplies/Paper & Paper Crafts",item_type_keyword:paper-craft-supplies
12897991,"Arts, Crafts & Sewing/Craft Supplies/Paper & Paper Crafts/Bookbinding",item_type_keyword:bookbinding-supplies
12898011,"Arts, Crafts & Sewing/Craft Supplies/Paper & Paper Crafts/Bookbinding/Bees Wax",item_type_keyword:bookbinding-beeswax
12898021,"Arts, Crafts & Sewing/Craft Supplies/Paper & Paper Crafts/Bookbinding/Board, Cloth & Thread",
689398011,"Arts, Crafts & Sewing/Craft Supplies/Paper & Paper Crafts/Bookbinding/Board, Cloth & Thread/Board",item_type_keyword:bookbinding-boards
689399011,"Arts, Crafts & Sewing/Craft Supplies/Paper & Paper Crafts/Bookbinding/Board, Cloth & Thread/Cloth",item_type_keyword:bookbinding-cloth
689400011,"Arts, Crafts & Sewing/Craft Supplies/Paper & Paper Crafts/Bookbinding/Board, Cloth & Thread/Thread",item_type_keyword:bookbinding-thread
12898031,"Arts, Crafts & Sewing/Craft Supplies/Paper & Paper Crafts/Bookbinding/Bookbinding Kits",item_type_keyword:bookbinding-kits
12898041,"Arts, Crafts & Sewing/Craft Supplies/Paper & Paper Crafts/Bookbinding/Bookbinding Tools",item_type_keyword:bookbinding-tools
3298707011,"Arts, Crafts & Sewing/Craft Supplies/Paper & Paper Crafts/Card Making Kits",item_type_keyword:card-making-kits
